experiment,method,n,state_dim,N,time,seed,error,rho_q,rho_v,controller,controller_name,metric_name,metric_implementation
robotarm_time_sweep,uniform,2,4,1000,0.67,798201,0.048235757948,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.67,798301,0.0452634729638,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.67,798401,0.046464725234,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.67,798501,0.0519062996639,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.67,798601,0.0452311851765,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.78,798311,0.0471706905747,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.78,798411,0.0490657611478,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.78,798511,0.0502849205443,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.78,798611,0.0559024179079,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_time_sweep,uniform,2,4,1000,0.78,798711,0.0474407267425,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",adaptive_inverse_dynamics_tracking,Hausdorff Distance,point_cloud_directed_hausdorff
